,2018-05-13,2018-05-06,2018-04-29,2018-04-22,2018-04-15,2018-04-08,2018-04-01,2018-03-25,2018-03-18,2018-03-11,2018-03-04,2018-02-25,2018-02-18,2018-02-11,2018-02-04,2018-01-28,2018-01-21,2018-01-14,2018-01-07,2017-12-31,2017-12-24,2017-12-17,2017-12-10,2017-12-03,2017-11-26,2017-11-19
lowenergy,50.0,56.0,57.0,59.0,53.0,53.0,56.0,56.0,54.0,55.0,58.0,60.0,59.0,59.0,61.0,63.0,64.0,65.0,62.0,63.0,67.0,65.0,69.0,68.0,67.0,67.0
majorana,35.0,36.0,34.0,31.0,32.0,34.0,31.0,30.0,35.0,36.0,36.0,37.0,42.0,43.0,49.0,56.0,52.0,53.0,61.0,60.0,64.0,63.0,67.0,64.0,67.0,63.0
adscft,56.0,57.0,60.0,57.0,59.0,60.0,55.0,62.0,62.0,59.0,56.0,60.0,58.0,59.0,61.0,61.0,63.0,62.0,61.0,62.0,62.0,62.0,61.0,59.0,61.0,60.0
worldsheet,43.0,52.0,55.0,49.0,54.0,57.0,57.0,54.0,54.0,52.0,53.0,55.0,57.0,56.0,56.0,57.0,57.0,60.0,61.0,60.0,60.0,58.0,57.0,59.0,61.0,59.0
holography,57.0,55.0,56.0,56.0,58.0,58.0,54.0,52.0,55.0,55.0,57.0,60.0,58.0,56.0,59.0,58.0,60.0,61.0,64.0,63.0,62.0,60.0,63.0,61.0,59.0,58.0
antide,48.0,48.0,49.0,51.0,51.0,49.0,49.0,53.0,55.0,55.0,56.0,60.0,60.0,60.0,62.0,62.0,60.0,57.0,60.0,61.0,57.0,58.0,59.0,59.0,57.0,58.0
gravitons,37.0,38.0,41.0,42.0,44.0,45.0,40.0,41.0,43.0,43.0,45.0,48.0,46.0,51.0,51.0,50.0,53.0,57.0,55.0,55.0,55.0,56.0,59.0,60.0,58.0,57.0
bh,36.0,36.0,35.0,37.0,37.0,36.0,35.0,35.0,35.0,41.0,41.0,43.0,39.0,39.0,33.0,33.0,39.0,39.0,39.0,39.0,38.0,42.0,49.0,53.0,53.0,57.0
brst,59.0,61.0,61.0,54.0,60.0,69.0,69.0,71.0,69.0,65.0,65.0,63.0,66.0,62.0,61.0,59.0,59.0,63.0,62.0,61.0,61.0,61.0,56.0,55.0,57.0,56.0
generalised,28.0,27.0,27.0,31.0,28.0,32.0,32.0,37.0,38.0,38.0,39.0,45.0,42.0,43.0,48.0,46.0,48.0,50.0,51.0,53.0,51.0,53.0,54.0,51.0,55.0,56.0
lowest,41.0,44.0,43.0,45.0,44.0,46.0,48.0,46.0,46.0,46.0,49.0,50.0,48.0,47.0,46.0,46.0,46.0,49.0,48.0,48.0,46.0,49.0,49.0,52.0,56.0,55.0
mathcal,26.0,28.0,30.0,30.0,46.0,44.0,40.0,40.0,42.0,42.0,41.0,41.0,42.0,42.0,41.0,39.0,39.0,44.0,44.0,45.0,45.0,40.0,39.0,46.0,51.0,54.0
instanton,73.0,74.0,71.0,67.0,67.0,67.0,69.0,67.0,68.0,64.0,64.0,62.0,62.0,60.0,61.0,64.0,66.0,68.0,64.0,63.0,63.0,62.0,62.0,59.0,55.0,53.0
compactifications,46.0,48.0,51.0,51.0,53.0,55.0,56.0,55.0,52.0,50.0,52.0,54.0,57.0,54.0,55.0,55.0,57.0,60.0,61.0,63.0,67.0,54.0,51.0,53.0,53.0,53.0
fourpoint,54.0,59.0,58.0,61.0,66.0,64.0,62.0,60.0,59.0,61.0,60.0,58.0,61.0,60.0,59.0,58.0,57.0,58.0,58.0,57.0,59.0,57.0,57.0,53.0,54.0,52.0
gluon,46.0,46.0,46.0,46.0,43.0,44.0,43.0,45.0,42.0,42.0,41.0,43.0,40.0,41.0,41.0,38.0,41.0,42.0,42.0,41.0,40.0,41.0,49.0,50.0,49.0,52.0
manybody,39.0,40.0,38.0,39.0,39.0,43.0,52.0,57.0,58.0,56.0,57.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,50.0,52.0,52.0,51.0,49.0,46.0,47.0,52.0
slowroll,51.0,51.0,54.0,56.0,51.0,48.0,48.0,49.0,49.0,50.0,55.0,53.0,55.0,52.0,50.0,49.0,51.0,54.0,56.0,59.0,56.0,52.0,53.0,52.0,53.0,51.0
quasinormal,52.0,54.0,59.0,61.0,59.0,58.0,56.0,52.0,48.0,47.0,54.0,57.0,54.0,56.0,60.0,59.0,63.0,65.0,62.0,63.0,60.0,55.0,54.0,49.0,50.0,50.0
mathbb,25.0,25.0,25.0,27.0,29.0,29.0,33.0,33.0,34.0,33.0,36.0,37.0,38.0,38.0,37.0,41.0,41.0,42.0,42.0,43.0,44.0,38.0,39.0,49.0,50.0,50.0
higherspin,27.0,27.0,37.0,38.0,35.0,34.0,34.0,34.0,38.0,37.0,37.0,40.0,40.0,40.0,38.0,39.0,41.0,41.0,47.0,50.0,46.0,43.0,51.0,50.0,49.0,49.0
simplest,45.0,42.0,40.0,40.0,40.0,42.0,43.0,46.0,46.0,46.0,51.0,49.0,52.0,48.0,47.0,47.0,47.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,50.0,48.0
renyi,25.0,23.0,24.0,21.0,21.0,21.0,20.0,28.0,28.0,31.0,28.0,28.0,24.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,39.0,41.0,42.0,42.0,46.0,48.0
superfield,30.0,32.0,34.0,34.0,35.0,38.0,40.0,42.0,44.0,45.0,46.0,46.0,52.0,52.0,52.0,52.0,54.0,52.0,50.0,51.0,50.0,51.0,48.0,47.0,44.0,48.0
offshell,38.0,38.0,40.0,40.0,42.0,43.0,46.0,47.0,46.0,45.0,43.0,41.0,39.0,43.0,41.0,43.0,45.0,46.0,45.0,50.0,51.0,49.0,52.0,51.0,50.0,47.0
ftheory,44.0,43.0,44.0,45.0,44.0,46.0,50.0,50.0,52.0,47.0,47.0,47.0,43.0,43.0,43.0,42.0,40.0,39.0,39.0,42.0,52.0,47.0,47.0,48.0,48.0,47.0
earlier,73.0,72.0,68.0,68.0,64.0,63.0,63.0,61.0,63.0,62.0,58.0,55.0,52.0,54.0,50.0,51.0,50.0,51.0,52.0,52.0,50.0,49.0,49.0,48.0,46.0,47.0
orbifold,40.0,41.0,41.0,42.0,40.0,37.0,33.0,37.0,36.0,36.0,37.0,41.0,41.0,42.0,44.0,47.0,49.0,51.0,53.0,52.0,51.0,48.0,49.0,47.0,46.0,47.0
kerr,60.0,62.0,68.0,66.0,59.0,53.0,51.0,55.0,54.0,48.0,43.0,45.0,44.0,45.0,44.0,43.0,41.0,45.0,45.0,47.0,46.0,43.0,42.0,46.0,44.0,47.0
energymomentum,57.0,58.0,56.0,58.0,59.0,58.0,52.0,54.0,53.0,51.0,52.0,51.0,53.0,50.0,51.0,51.0,50.0,50.0,54.0,53.0,53.0,53.0,55.0,55.0,54.0,46.0
coordinate,65.0,67.0,67.0,68.0,67.0,64.0,64.0,63.0,62.0,62.0,62.0,59.0,57.0,56.0,56.0,57.0,59.0,60.0,61.0,62.0,58.0,57.0,55.0,54.0,54.0,46.0
electroweak,41.0,41.0,40.0,38.0,35.0,36.0,38.0,40.0,35.0,40.0,39.0,34.0,32.0,32.0,33.0,34.0,38.0,39.0,39.0,40.0,38.0,40.0,43.0,43.0,48.0,46.0
spinors,53.0,53.0,54.0,57.0,61.0,61.0,59.0,61.0,60.0,60.0,64.0,58.0,57.0,52.0,50.0,52.0,40.0,40.0,41.0,42.0,42.0,42.0,42.0,44.0,46.0,46.0
tduality,44.0,46.0,45.0,46.0,50.0,49.0,49.0,50.0,46.0,37.0,39.0,40.0,38.0,40.0,41.0,41.0,43.0,44.0,44.0,49.0,50.0,50.0,46.0,42.0,46.0,45.0
witten,32.0,33.0,30.0,31.0,34.0,33.0,31.0,33.0,34.0,33.0,35.0,35.0,39.0,37.0,36.0,37.0,42.0,42.0,47.0,46.0,46.0,43.0,43.0,41.0,45.0,45.0
horndeski,38.0,40.0,39.0,42.0,47.0,45.0,44.0,45.0,38.0,39.0,37.0,38.0,39.0,39.0,42.0,42.0,37.0,40.0,45.0,44.0,42.0,42.0,44.0,44.0,43.0,45.0
hooft,55.0,56.0,58.0,59.0,60.0,59.0,57.0,56.0,54.0,54.0,52.0,50.0,51.0,45.0,43.0,44.0,46.0,45.0,46.0,45.0,47.0,48.0,47.0,51.0,44.0,44.0
compactification,53.0,53.0,53.0,55.0,52.0,53.0,56.0,54.0,51.0,48.0,40.0,41.0,42.0,40.0,41.0,40.0,38.0,43.0,42.0,46.0,47.0,47.0,43.0,45.0,44.0,44.0
backreaction,33.0,30.0,28.0,30.0,30.0,29.0,27.0,30.0,27.0,28.0,28.0,29.0,30.0,33.0,36.0,39.0,42.0,44.0,44.0,47.0,48.0,45.0,43.0,43.0,44.0,44.0
